stop_id,stop_code,stop_name,tts_stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
ES:Euskotren:StopPlace:2629:,,Elotxelerri-Loiu,,Camino de Molinaga / Loiu,43.294465,-2.905731,ES:Euskotren:Zone:2:,,1,,,1,ES:Euskotren:Level:1:,
ES:Euskotren:StopPlaceEntrance:26290:,,Elotxelerri-Loiu,,Camino de Molinaga / Loiu,43.294465,-2.905731,ES:Euskotren:Zone:2:,,2,ES:Euskotren:StopPlace:2629:,,0,ES:Euskotren:Level:1:,
ES:Euskotren:Quay:26291:,,Elotxelerri-Loiu,,Camino de Molinaga / Loiu,43.294465,-2.905731,ES:Euskotren:Zone:2:,,0,ES:Euskotren:StopPlace:2629:,,0,ES:Euskotren:Level:1:,
ES:Euskotren:StopPlace:2631:,,Altza-Donostia,,"Paseo de Larratxo, 95 / Donostia-San Sebastián",43.316674,-1.929814,ES:Euskotren:Zone:42:,,1,,,1,ES:Euskotren:Level:1:,
ES:Euskotren:StopPlaceEntrance:26310:,,Altza-Donostia,,"Paseo de Larratxo, 95 / Donostia-San Sebastián",43.316674,-1.929814,ES:Euskotren:Zone:42:,,2,ES:Euskotren:StopPlace:2631:,,0,ES:Euskotren:Level:1:,
ES:Euskotren:Quay:26311:,,Altza-Donostia,,"Paseo de Larratxo, 95 / Donostia-San Sebastián",43.316674,-1.929814,ES:Euskotren:Zone:42:,,0,ES:Euskotren:StopPlace:2631:,,0,ES:Euskotren:Level:1:,
ES:Euskotren:Quay:26312:,,Altza-Donostia,,"Paseo de Larratxo, 95 / Donostia-San Sebastián",43.316674,-1.929814,ES:Euskotren:Zone:42:,,0,ES:Euskotren:StopPlace:2631:,,0,ES:Euskotren:Level:1:,
ES:Euskotren:StopPlace:2632:,,Bentak-Irun,,Avda. Elizatxo / Irun,43.330444,-1.816976,ES:Euskotren:Zone:43:,,1,,,1,ES:Euskotren:Level:1:,
ES:Euskotren:StopPlaceEntrance:26320:,,Bentak-Irun,,Avda. Elizatxo / Irun,43.330444,-1.816976,ES:Euskotren:Zone:43:,,2,ES:Euskotren:StopPlace:2632:,,0,ES:Euskotren:Level:1:,
ES:Euskotren:Quay:26321:,,Bentak-Irun,,Avda. Elizatxo / Irun,43.330444,-1.816976,ES:Euskotren:Zone:43:,,0,ES:Euskotren:StopPlace:2632:,,0,ES:Euskotren:Level:1:,
ES:Euskotren:Quay:26322:,,Bentak-Irun,,Avda. Elizatxo / Irun,43.330444,-1.816976,ES:Euskotren:Zone:43:,,0,ES:Euskotren:StopPlace:2632:,,0,ES:Euskotren:Level:1:,
ES:Euskotren:StopPlace:2633:,,Deba,,"Plaza Arakistain, 6 / Deba",43.293681,-2.355604,ES:Euskotren:Zone:40:,,1,,,1,ES:Euskotren:Level:1:,
ES:Euskotren:StopPlaceEntrance:26330:,,Deba,,"Plaza Arakistain, 6 / Deba",43.293681,-2.355604,ES:Euskotren:Zone:40:,,2,ES:Euskotren:StopPlace:2633:,,0,ES:Euskotren:Level:1:,
ES:Euskotren:Quay:26331:,,Deba,,"Plaza Arakistain, 6 / Deba",43.293681,-2.355604,ES:Euskotren:Zone:40:,,0,ES:Euskotren:StopPlace:2633:,,0,ES:Euskotren:Level:1:,
ES:Euskotren:Quay:26332:,,Deba,,"Plaza Arakistain, 6 / Deba",43.293681,-2.355604,ES:Euskotren:Zone:40:,,0,ES:Euskotren:StopPlace:2633:,,0,ES:Euskotren:Level:1:,
ES:Euskotren:StopPlace:2635:,,Amaña-Eibar,,Calle de Amaña / Eibar,43.184872,-2.479785,ES:Euskotren:Zone:40:,,1,,,1,ES:Euskotren:Level:1:,
ES:Euskotren:StopPlaceEntrance:26350:,,Amaña-Eibar,,Calle de Amaña / Eibar,43.184872,-2.479785,ES:Euskotren:Zone:40:,,2,ES:Euskotren:StopPlace:2635:,,0,ES:Euskotren:Level:1:,
ES:Euskotren:Quay:26351:,,Amaña-Eibar,,Calle de Amaña / Eibar,43.184872,-2.479785,ES:Euskotren:Zone:40:,,0,ES:Euskotren:StopPlace:2635:,,0,ES:Euskotren:Level:1:,
ES:Euskotren:StopPlace:2636:,,Belaskoenea-Irun,,Calle de los Balleneros / Irun,43.336518,-1.803734,ES:Euskotren:Zone:43:,,1,,,1,ES:Euskotren:Level:1:,
ES:Euskotren:StopPlaceEntrance:26360:,,Belaskoenea-Irun,,Calle de los Balleneros / Irun,43.336518,-1.803734,ES:Euskotren:Zone:43:,,2,ES:Euskotren:StopPlace:2636:,,0,ES:Euskotren:Level:1:,
ES:Euskotren:Quay:26361:,,Belaskoenea-Irun,,Calle de los Balleneros / Irun,43.336518,-1.803734,ES:Euskotren:Zone:43:,,0,ES:Euskotren:StopPlace:2636:,,0,ES:Euskotren:Level:1:,
ES:Euskotren:StopPlace:2637:,,Amorebieta Geltokia,,"Calle Sabino Arana, 42, bajo / Amorebieta-Etxano",43.216576,-2.736155,ES:Euskotren:Zone:6:,,1,,,2,ES:Euskotren:Level:1:,
ES:Euskotren:StopPlaceEntrance:26370:,,Amorebieta Geltokia,,"Calle Sabino Arana, 42, bajo / Amorebieta-Etxano",43.216576,-2.736155,ES:Euskotren:Zone:6:,,2,ES:Euskotren:StopPlace:2637:,,0,ES:Euskotren:Level:1:,
ES:Euskotren:Quay:26371:,,Amorebieta Geltokia,,"Calle Sabino Arana, 42, bajo / Amorebieta-Etxano",43.216576,-2.736155,ES:Euskotren:Zone:6:,,0,ES:Euskotren:StopPlace:2637:,,0,ES:Euskotren:Level:1:,
ES:Euskotren:Quay:26372:,,Amorebieta Geltokia,,"Calle Sabino Arana, 42, bajo / Amorebieta-Etxano",43.216576,-2.736155,ES:Euskotren:Zone:6:,,0,ES:Euskotren:StopPlace:2637:,,0,ES:Euskotren:Level:1:,
