table_name,field_name,language,translation,record_id,record_sub_id,field_value
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10736520:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10736540:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10736560:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10736650:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia-Lasarte,ES:Euskotren:Journey:10736690:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia-Lasarte,ES:Euskotren:Journey:10736750:,,
trips,trip_headsign,fr,Hendaye,ES:Euskotren:Journey:10736780:,,
trips,trip_headsign,fr,Hendaye,ES:Euskotren:Journey:10736800:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia-Lasarte,ES:Euskotren:Journey:10736810:,,
trips,trip_headsign,fr,Hendaye,ES:Euskotren:Journey:10736840:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia-Lasarte,ES:Euskotren:Journey:10736850:,,
trips,trip_headsign,fr,Hendaye,ES:Euskotren:Journey:10736880:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia-Lasarte,ES:Euskotren:Journey:10736890:,,
trips,trip_headsign,fr,Hendaye,ES:Euskotren:Journey:10736920:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia-Lasarte,ES:Euskotren:Journey:10736930:,,
trips,trip_headsign,fr,Hendaye,ES:Euskotren:Journey:10736960:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia-Lasarte,ES:Euskotren:Journey:10736970:,,
trips,trip_headsign,fr,Hendaye,ES:Euskotren:Journey:10737000:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia-Lasarte,ES:Euskotren:Journey:10737010:,,
trips,trip_headsign,fr,Hendaye,ES:Euskotren:Journey:10737050:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia-Lasarte,ES:Euskotren:Journey:10737060:,,
trips,trip_headsign,fr,Hendaye,ES:Euskotren:Journey:10737090:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia-Lasarte,ES:Euskotren:Journey:10737100:,,
trips,trip_headsign,fr,Hendaye,ES:Euskotren:Journey:10737130:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia-Lasarte,ES:Euskotren:Journey:10737140:,,
trips,trip_headsign,fr,Hendaye,ES:Euskotren:Journey:10737170:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia-Lasarte,ES:Euskotren:Journey:10737180:,,
trips,trip_headsign,fr,Hendaye,ES:Euskotren:Journey:10737210:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia-Lasarte,ES:Euskotren:Journey:10737220:,,
trips,trip_headsign,fr,Hendaye,ES:Euskotren:Journey:10737250:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia-Lasarte,ES:Euskotren:Journey:10737260:,,
trips,trip_headsign,fr,Hendaye,ES:Euskotren:Journey:10737290:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia-Lasarte,ES:Euskotren:Journey:10737300:,,
trips,trip_headsign,fr,Hendaye,ES:Euskotren:Journey:10737330:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia-Lasarte,ES:Euskotren:Journey:10737340:,,
trips,trip_headsign,fr,Hendaye,ES:Euskotren:Journey:10737370:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia-Lasarte,ES:Euskotren:Journey:10737380:,,
trips,trip_headsign,fr,Hendaye,ES:Euskotren:Journey:10737410:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia-Lasarte,ES:Euskotren:Journey:10737420:,,
trips,trip_headsign,fr,Hendaye,ES:Euskotren:Journey:10737450:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia-Lasarte,ES:Euskotren:Journey:10737460:,,
trips,trip_headsign,fr,Hendaye,ES:Euskotren:Journey:10737490:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia-Lasarte,ES:Euskotren:Journey:10737500:,,
trips,trip_headsign,fr,Hendaye,ES:Euskotren:Journey:10737530:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia-Lasarte,ES:Euskotren:Journey:10737540:,,
trips,trip_headsign,fr,Hendaye,ES:Euskotren:Journey:10737570:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia-Lasarte,ES:Euskotren:Journey:10737580:,,
trips,trip_headsign,fr,Hendaye,ES:Euskotren:Journey:10737610:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia-Lasarte,ES:Euskotren:Journey:10737620:,,
trips,trip_headsign,fr,Hendaye,ES:Euskotren:Journey:10737650:,,
