Hora_Ini_E,Per_hog,Turismos,Sexo,Edad,crnt_tur,O_long,O_lat,D_long,D_lat,distance,original_distance,Coworking,Coworking_days,Rem_work,drive_tt,walk_tt,distance_stop_0,distance_stop_1,distance_stop_2,distance_stop_3,distance_stop_4,transit_tt,Tipo_familia,Mun_Ori,Mun_Des,geometry,distance_base,Mode,Mode_base,prediction,prediction_base,eCar,CO2,CO2_over_target,CO2_worst_case,CO2_worst_case_over_target,distance_week,distance_week_interv,distance_week_no_interv,weighted_d,n_close_stops
97,2,3,2,4,1,-2.1723575227246177,43.28192447763628,-2.033693,43.256347,17707.794,17707.794,0,0,0,15.560733333333333,252.1221,238.76,371.33,371.33,403.416,441.114,47.489,6,79,64,POINT (-2.1723575227246177 43.28192447763628),17707.794,Car,Car,2,2,0,33.644808600000005,1.9016630947826092,33.644808600000005,1.9016630947826092,177077.94,0.0,177077.94,2.9605741654537483,5
97,1,2,2,6,1,-1.7857171365534978,43.33737647054932,-2.033693,43.256347,24986.201,24986.201,0,0,0,20.767033333333334,425.93218333333334,0.0,59.63,275.512,275.512,349.67,61.05,1,45,69,POINT (-1.7857171365534978 43.33737647054932),24986.201,PT,PT,1,1,0,30.133358406,1.7031898229478264,47.4737819,2.683300716086957,249862.01,0.0,249862.01,3.406379645895653,5
97,2,1,2,3,2,-1.7897150613908732,43.3337347728347,-2.033693,43.256347,24404.233,24404.233,0,0,0,19.28421666666667,419.4980166666667,81.203,81.203,143.151,207.827,332.153,59.092,6,45,69,POINT (-1.7897150613908732 43.3337347728347),24404.233,PT,PT,1,1,0,29.431504998,1.6635198477130437,46.3680427,2.6208024134782613,244042.33000000002,0.0,244042.33000000002,2.9726804637467925,5
97,2,4,1,3,1,-1.797515823450469,43.33400771403629,-2.033693,43.256347,24199.792,24199.792,0,0,0,19.15475,406.90325,211.585,211.585,263.186,331.799,331.799,55.318,2,45,69,POINT (-1.797515823450469 43.33400771403629),24199.792,Car,Car,2,2,0,45.979604800000004,2.5988472278260875,45.979604800000004,2.5988472278260875,241997.92,0.0,241997.92,4.122844546644712,5
97,2,4,1,5,1,-1.7822154234293377,43.33406187485643,-2.033693,43.256347,25131.804,25131.804,0,0,0,20.984416666666668,434.8639333333333,650.414,710.044,777.339,777.339,998.765,67.61,4,45,69,POINT (-1.7822154234293377 43.33406187485643),25131.804,Car,Car,2,2,0,47.750427599999995,2.698937212173913,47.750427599999995,2.698937212173913,251318.04,0.0,251318.04,3.5508619140955746,0
97,1,1,1,5,2,-1.899155959342128,43.31484804788376,-2.033693,43.256347,15644.83,15644.83,0,0,0,15.6205,262.14343333333335,175.45,178.625,314.473,314.473,333.157,46.411,1,67,69,POINT (-1.899155959342128 43.31484804788376),15644.83,PT,PT,1,1,0,18.86766498,1.0664332380000001,29.725177,1.6801187000000002,156448.3,0.0,156448.3,1.739332536348933,5
97,2,3,2,3,1,-1.8939941061393064,43.30717299340361,-2.033693,43.256347,15812.749,15812.749,0,0,0,15.213333333333333,266.4694333333333,15.174,118.707,122.642,178.579,192.9,48.658,2,67,69,POINT (-1.8939941061393064 43.30717299340361),15812.749,Car,Car,2,2,0,30.044223099999996,1.6981517404347826,30.0442231,1.6981517404347828,158127.49,0.0,158127.49,3.314546246740616,5
97,1,1,1,5,2,-1.8948997085402,43.30745824054718,-2.033693,43.256347,15690.975,15690.975,0,0,0,14.9089,266.83326666666665,60.997,71.979,121.774,159.422,290.205,48.557,1,67,69,POINT (-1.8948997085402 43.30745824054718),15690.975,PT,PT,1,1,0,18.923315849999998,1.0695787219565218,29.8128525,1.6850742717391307,156909.75,0.0,156909.75,1.95843269189798,5
97,2,2,1,6,1,-1.898796052188473,43.31049139077848,-2.033693,43.256347,15980.154,15980.154,0,0,0,16.424983333333333,259.62745,352.483,403.073,442.101,442.101,442.101,49.078,2,67,69,POINT (-1.898796052188473 43.31049139077848),15980.154,Car,Car,2,2,0,30.362292600000004,1.7161295817391309,30.3622926,1.7161295817391307,159801.54,0.0,159801.54,2.5051752343028593,5
97,1,2,2,5,1,-1.9066878496331816,43.31538714791489,-2.033693,43.256347,15092.66,15092.66,0,0,0,15.299800000000001,250.5609,61.735,61.735,118.569,118.569,120.335,44.18,5,67,69,POINT (-1.9066878496331816 43.31538714791489),15092.66,Car,Car,2,2,0,28.676054,1.6208204434782612,28.676054,1.6208204434782612,150926.6,0.0,150926.6,2.965025823227189,5
