,Com_Ori,Com_Des,Mun_Ori,Mun_Des,Modo,Hora_Ini,Recur,Municipio,Per_hog,Turismos,Motos,Tipo_familia,Sexo,Edad,Actividad,crnt_tur,Año,Income,Income_Percentile,O_long,O_lat,D_long,D_lat
1008,Bidasoa,Donostialdea,Irun,Andoain,Coche conductor,20:00,22,Andoain,1,2,1,Hogar de una persona,1,5,1,1,2021,26224.31,4,-1.8162415167460135,43.33263174447656,-2.033693,43.256347
1009,Donostialdea,Donostialdea,Donostia/San Sebastian,Donostia/San Sebastian,Autobús urbano,08:00,22,Donostia/San Sebastian,1,1,1,Hogar de una persona,2,4,1,1,2021,21665.65,1,-1.9895920661382611,43.32315762313895,-2.033693,43.256347
1010,Donostialdea,Donostialdea,Donostia/San Sebastian,Errenteria,Coche conductor,11:30,99,Errenteria,2,3,2,Otros hogares con niños,1,3,1,1,2021,21297.335,1,-1.9465121584689502,43.31692469719934,-2.033693,43.256347
1011,Donostialdea,Donostialdea,Donostia/San Sebastian,Donostia/San Sebastian,Andando,13:30,99,Donostia/San Sebastian,2,1,1,2 adultos con niño(s),2,4,1,2,2021,20678.5,1,-1.937948833561213,43.324492299214555,-2.033693,43.256347
1012,Donostialdea,Donostialdea,Donostia/San Sebastian,Donostia/San Sebastian,Moto,13:45,22,Donostia/San Sebastian,1,2,2,2 adultos,1,6,1,1,2021,24675.570000000003,3,-1.9743345146954439,43.31595766457262,-2.033693,43.256347
1013,Bidasoa,Donostialdea,Irun,Errenteria,Coche conductor,16:00,23,Errenteria,2,2,2,2 adultos con niño(s),2,4,1,1,2021,21265.62,1,-1.7968331388140815,43.340700193801396,-2.033693,43.256347
1014,Debabarrena,Urola Kosta       ,Eibar,Zarautz,Coche pasajero,07:00,22,Eibar,1,1,1,Hogar de una persona,1,4,1,1,2021,22208.4,1,-2.4710094385381036,43.182267354143015,-2.033693,43.256347
1015,Donostialdea,Donostialdea,Donostia/San Sebastian,Donostia/San Sebastian,Autobús urbano,08:00,22,Donostia/San Sebastian,2,2,1,Otros hogares sin niños,2,6,1,2,2021,22169.27,1,-1.9369596313290105,43.31745308854911,-2.033693,43.256347
1016,Donostialdea,Donostialdea,Donostia/San Sebastian,Usurbil,Coche conductor,17:30,99,Pasaia,2,2,1,Otros hogares sin niños,1,3,5,1,2021,13446.595,1,-1.9206550185910536,43.32002971120587,-2.033693,43.256347
1017,Donostialdea,Donostialdea,Donostia/San Sebastian,Donostia/San Sebastian,Coche conductor,18:00,22,Donostia/San Sebastian,1,4,2,2 adultos,1,6,1,1,2021,28637.91,4,-2.002075661565031,43.307173565824066,-2.033693,43.256347
1018,Debagoiena,Debagoiena,Arrasate/Mondragon,Arrasate/Mondragon,Andando,14:00,22,Arrasate/Mondragon,2,4,1,2 adultos con niño(s),1,5,1,1,2021,27768.709999999995,4,-2.5198815652397064,43.06879425040462,-2.033693,43.256347
1019,Donostialdea,Donostialdea,Donostia/San Sebastian,Donostia/San Sebastian,Coche conductor,07:45,22,Donostia/San Sebastian,2,3,2,2 adultos con niño(s),1,5,1,1,2021,25818.26,3,-1.9996197349883582,43.30734279127415,-2.033693,43.256347
1020,Bidasoa,Bidasoa,Hondarribia,Hondarribia,Coche conductor,10:30,99,Hondarribia,2,2,1,2 adultos con niño(s),1,5,1,1,2021,25793.16,3,-1.8034462761790984,43.37154831501602,-2.033693,43.256347
